Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\header.jsx                                        | JavaScript JSX |        136 |          5 |         25 |        166 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\sideBar.jsx                                       | JavaScript JSX |         91 |          1 |          8 |        100 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\contexts\FinancialContext.jsx                                | JavaScript JSX |        113 |          7 |         19 |        139 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\firebase.js                                                  | JavaScript     |         16 |          3 |          4 |         23 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useFinancialData.js                                    | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useNotification.js                                     | JavaScript     |         19 |          0 |          5 |         24 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\i18n.js                                                      | JavaScript     |         24 |          0 |          4 |         28 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\index.css                                                    | PostCSS        |        182 |          6 |         38 |        226 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\ar.json                                              | JSON           |        407 |          0 |          0 |        407 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\en.json                                              | JSON           |        410 |          0 |          0 |        410 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\main.jsx                                                     | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\security\rateLimiter.js                                      | JavaScript     |         53 |          3 |         10 |         66 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vercel.json                                                      | JSON           |          8 |          0 |          1 |          9 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vite.config.js                                                   | JavaScript     |         18 |          1 |          1 |         20 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vitest.config.js                                                 | JavaScript     |          7 |          0 |          1 |          8 |
| Total                                                                                                                           |                |     17,151 |        508 |      1,758 |     19,417 |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
